Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
Stand alone,Electronic Data Interchange ,Enhancement,,,XS,Yes,,1,Yes,Manufacturing,3178,,,
Client server,,Enhancement,MR,4GL,M1,,,1,,Electronics & Computers,4543,8,,8
Multi-tier,Online. eSales ,Enhancement,Multi,,S,,,1,,Communication,96,4.6,,4.6
Stand alone,Transaction/Production System ,New Development,PC,3GL,M2,No,,1,No,Wholesale & Retail,2737,,,
,Management of Licences and Permits ,Enhancement,MF,ApG,M1,Yes,,1,,Government,3347,13,,13
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,M1,Yes,,1,,,2323,9,,9
Client server,Workflow support & management ,Enhancement,,3GL,M2,No,,1,,Communication,13912,12.2,,12.2
,Utility ,New Development,PC,4GL,S,,,1,,Utilities,521,12.1,,12.1
,Financial transaction process/accounting ,New Development,MF,3GL,S,,,1,,Banking,6521,,,
Stand alone,,Enhancement,MF,3GL,M2,,,2,No,Manufacturing,2533,6,,6
,Financial transaction process/accounting ,Enhancement,MF,,M2,Yes,,1,,Financial,953,,,
,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,1810,7,,7
Stand alone,Office Information System ,New Development,PC,4GL,M1,Yes,,1,No,Professional Services,225,10,,10
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,3680,13,0,13
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,7003,15,,15
Multi-tier / Client server,Customer billing/relationship management CRM ,New Development,Multi,4GL,L,Don't Know,,1,No,Manufacturing,11830,9,0,9
Stand alone,Transaction/Production System ,Enhancement,MF,4GL,M2,Yes,,1,No,Medical & Health Care,11045,13,,13
,,New Development,,3GL,M1,Don't Know,,1,Don't Know,,1069,,,
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,102,4.4,,4.4
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,,Government,5548,16,,16
Multi-tier with web public interface,Financial application area ,New Development,Multi,3GL,S,Yes,,1,,,484,3,,3
Stand alone,Financial transaction process/accounting ,Enhancement,PC,3GL,S,Yes,,4,,Banking,3116,9,0.2,9
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,L,Yes,,1,No,Government,60823,12,,12
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,M1,,,1,,Communication,493,7.8,,7.8
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1672,24,,24
Stand alone,Transaction/Production System ,Enhancement,MF,4GL,L,Yes,,4,No,Insurance,32760,24,,24
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,4933,10,,10
,,Enhancement,Multi,4GL,S,Yes,,1,,Communication,1616,12.1,0.13,12.1
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Financial,1556,,,
,Financial transaction process/accounting ,New Development,MF,3GL,M2,,,1,,Banking,6144,16.1,,16.1
,,Enhancement,MF,3GL,M1,Yes,,1,,Banking,14040,13,0,13
,Electronic Data Interchange ,New Development,MF,4GL,L,Don't Know,,1,No,Manufacturing,6400,10.9,0,10.9
Client server,Catalogue/register of things or events ,Enhancement,Multi,3GL,M2,Yes,Yes,1,,Service Industry,19606,19,0,19
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,3GL,S,Don't Know,,1,No,Insurance,621,0.6,0,0.6
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,116,6.3,,6.3
Stand alone,Catalogue/register of things or events Logistic or supply planning & control ,Re-development,PC,3GL,M2,No,Yes,1,,Education,331,4,,4
Client server,Factory change programming ,Enhancement,MR,3GL,S,Yes,,3,No,Manufacturing,416,4.1,,4.1
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1330,8,,8
Client server,Robot ,New Development,MR,,S,Yes,,1,,Communication,2475,8,,8
Client server,Human Resources ,Enhancement,MR,4GL,S,Yes,,3,Yes,Manufacturing,704,2.3,,2.3
Client server,Production management ,Enhancement,MF,3GL,M2,Yes,,,No,Manufacturing,3958,15.8,,15.8
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XS,Yes,,1,,,188,1.3,,1.3
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,XS,Yes,,1,,,128,1.5,,1.5
Stand alone,,Enhancement,MF,3GL,XL,Yes,,2,No,Insurance,614,10,,10
,Embedded system/real-time application ,Enhancement,MR,3GL,XXS,Yes,,1,,Manufacturing,1420,,,
Multi-tier with web public interface,Website ,New Development,PC,3GL,M1,,,1,Yes,Government,291,3,0,3
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,S,Yes,,1,,,470,4.2,,4.2
Client server,Financial transaction process/accounting Logistic or supply planning & control ,Re-development,PC,3GL,,Yes,,1,,Manufacturing,22392,21,,21
Multi-tier,Online. eSales ,Enhancement,Multi,,M1,,,1,,Communication,192,4.5,,4.5
,System Software ,Enhancement,PC,3GL,,,,4,,Banking,5472,6.2,,6.2
,Sales contact management ,New Development,MF,4GL,S,Don't Know,,1,No,Insurance,1355,5,0,5
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M1,Yes,,1,,Financial,1074,10.2,4,10.2
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,10997,27,,27
Multi-tier with web public interface,Telecom & network management ,Enhancement,MR,3GL,M1,Yes,,1,,Communication,3264,9,0,9
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,838,11,,11
Client server,"Document management Financial transaction process/accounting Image, video or sound processing ",New Development,Multi,3GL,M2,Yes,,4,,Government,37877,33.6,0,33.6
Client server,Providing management ,Enhancement,,3GL,M1,Yes,,3,No,Manufacturing,820,5,,5
Stand alone,Financial transaction process/accounting Customer billing ,New Development,PC,3GL,XS,No,Yes,1,,Service Industry,248,1.5,0,1.5
,Software for machine control ,New Development,,3GL,M1,,,1,,Manufacturing,360,24,,24
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,500,3.4,0,3.4
Stand alone,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,1845,5.4,0.4,5.4
Multi-tier / Client server,,Enhancement,Multi,,M1,Don't Know,,1,No,,1562,3.3,0,3.3
Client server,Workflow support & management ,New Development,Multi,3GL,M1,Yes,,1,,Service Industry,5374,11,,11
Client server,Factory reporting ,Enhancement,MR,3GL,S,Yes,,3,No,Manufacturing,1246,7,,7
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,No,Financial,252,7,,7
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,13690,15,,15
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,,Government,423,2,,2
Client server,Parts documentation ,New Development,MR,3GL,M1,Yes,,3,No,Manufacturing,3670,7.6,,7.6
Multi-tier / Client server,Sales contact management ,New Development,Multi,3GL,M2,Don't Know,,1,No,Insurance,5975,4.7,0,4.7
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,459,19,,19
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,2962,22,,22
,,Enhancement,,,M2,Yes,,1,,Communication,4581,4,,4
Stand alone,Management Information System ,Re-development,MF,3GL,M1,Yes,,4,No,,4000,26,,26
Stand alone,,Enhancement,MF,ApG,M2,,,2,No,Manufacturing,2362,8,,8
Client server,Mathematical modelling (finance or eng.) Online analysis and reporting ,Re-development,Multi,4GL,M2,Yes,,1,,Government,5329,16,0,16
Client server,Embedded system/real-time application ,Enhancement,Multi,3GL,S,Yes,,1,,Communication,3017,,,
,,New Development,,3GL,M1,Don't Know,,1,Don't Know,,3190,8,0,8
Stand alone,website for Parts selling ,Enhancement,MF,3GL,M1,Yes,,3,No,Manufacturing,7210,12.2,,12.2
Client server,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,4219,8,,8
Multi-tier,Transaction/Production System ,Enhancement,MF,4GL,M1,Yes,,1,No,,1672,8.6,0,8.6
,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Don't Know,,1,No,Banking,480,2.6,0,2.6
Client server,Quality of purchasing ,Enhancement,Multi,4GL,M2,Yes,,3,Yes,Manufacturing,6091,14,,14
Client server,Management or performance reporting ,New Development,PC,3GL,,Yes,,1,,Government,3854,7,,7
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,440,1.9,,1.9
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Insurance,7352,3.1,0,3.1
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M1,,,1,,Communication,713,4.1,,4.1
,,New Development,Multi,3GL,M1,Yes,,1,,Manufacturing,1568,5,,5
Stand alone,System Software ,New Development,PC,3GL,S,Yes,,1,,Medical & Health Care,3049,14.5,,14.5
Stand alone,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,1821,5.4,0.43,5.4
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,2301,5.5,,5.5
Stand alone,Parts selling ,Enhancement,MF,3GL,S,Yes,,,No,Manufacturing,866,4.7,,4.7
Client server,Operating system or software utility ,New Development,PC,3GL,,Yes,,1,,Construction,1300,2.5,,2.5
Stand alone,Reporting ,Enhancement,MF,3GL,M1,Yes,,1,,Government,3130,21.6,,21.6
,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Don't Know,,1,No,Banking,21,3,0,3
,Complex process control ,New Development,MF,3GL,M1,Don't Know,,1,No,Manufacturing,390,,0,
,,Enhancement,,,S,,,1,,,1477,3,0,3
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,577,21.6,,21.6
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,M1,Yes,,1,,,930,3.2,,3.2
Stand alone,,Enhancement,MF,3GL,S,,,1,,Electronics & Computers,2063,6,,6
,Billing ,Enhancement,MF,3GL,M2,Yes,,1,,Wholesale & Retail,17688,,,
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Don't Know,,1,No,Insurance,3862,3.3,0,3.3
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M2,,,1,,Communication,166,7.8,,7.8
,,New Development,PC,3GL,L,Yes,,1,,Manufacturing,2141,18,13,18
Multi-tier,Management Information System ,Enhancement,MF,3GL,S,Yes,,1,No,Banking,1179,,,
Stand alone,Management Information System ,Enhancement,MR,4GL,M2,Yes,,4,No,Banking,1723,,,
,Financial transaction process/accounting ,Enhancement,PC,3GL,L,Yes,,1,No,Insurance,7368,3,0,3
Client server,Management or performance reporting ,New Development,Multi,3GL,M2,Yes,,1,,Government,2891,11,0,11
Client server,Financial transaction process/accounting Management or performance reporting ,Enhancement,Multi,3GL,M2,Yes,,1,,Government,1593,8,0,8
,Financial transaction process/accounting ,Enhancement,Multi,4GL,XS,Yes,,1,,,561,2.1,,2.1
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,162,3.5,0,3.5
Stand alone,Telecom & network management ,Enhancement,MR,4GL,M2,Yes,,1,,Communication,2963,5,,5
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,721,7.2,,7.2
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,2112,28.6,,28.6
,relatively complex application ,Enhancement,MF,3GL,M1,Yes,,1,,Communication,1284,,,
Stand alone,Management Information System ,New Development,MF,ApG,L,Yes,,4,No,Insurance,8076,20,,20
,,New Development,Multi,4GL,M2,Yes,,1,,Government,2483,12,1,12
,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,658,6,,6
Stand alone,Catalogue/register of things or events Customer relationship management ,Enhancement,PC,4GL,L,,,4,,Government,19875,2,0,2
Client server,Follow up of car failure ,Enhancement,MR,3GL,M2,Yes,,,No,Manufacturing,4523,12,,12
,Web-based Application ,New Development,PC,3GL,,,,4,,,15804,13.4,,13.4
Multi-tier,,New Development,Multi,3GL,M1,Yes,,1,,Insurance,4716,5.3,0.3,5.3
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M2,,,1,No,Communication,5825,3,,3
,System Software ,New Development,MR,3GL,,,,,,Communication,,,,
Stand alone,,Enhancement,MF,3GL,S,,,1,,Electronics & Computers,690,5,,5
Client server,Electronic Data Interchange ,New Development,MF,3GL,M2,Yes,,1,,Financial,23760,30,,30
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,893,6,,6
,Financial transaction process/accounting ,Enhancement,,,M1,Yes,,1,,Financial,818,,,
,,New Development,Multi,3GL,M2,Yes,,1,,Government,618,4,0,4
Client server,Catalogue/register of things or events Electronic Data Interchange Online analysis and reporting Legislation and consideration of building cases ,New Development,PC,3GL,M2,Yes,,1,,Government,8706,21,4,21
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,2931,21,,21
Client server,Transaction/Production System ,Enhancement,,4GL,M2,No,,1,,Communication,2907,4,,4
Client server,Transaction/Production System ,Enhancement,,4GL,M2,No,,1,,Communication,11410,5,,5
,Management Information System Linguistic Software ,New Development,PC,,M1,,,4,,Electronics & Computers,98,1.3,0.1,1.3
,relatively complex application ,Enhancement,MF,3GL,M1,Yes,,1,,Communication,3303,,,
Client server,Graphics & publishing tools or system ,New Development,PC,3GL,S,Yes,,4,,Electronics & Computers,408,3,0,3
,Maintenance ,Enhancement,MF,3GL,M1,Yes,,1,,,15339,,,
Client server,Office Information System ,Enhancement,PC,3GL,L,No,,1,Yes,Defence,5829,,,
,,New Development,Multi,3GL,M2,Yes,,1,,Communication,1082,40,32,40
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,M2,,,1,,Communication,136,2.5,,2.5
,Web-based Application ,New Development,PC,3GL,M1,,,4,,Communication,2580,3.4,,3.4
Multi-tier with web public interface,Financial application area ,New Development,Multi,3GL,M1,Yes,,1,,,319,1.8,,1.8
Stand alone,Transaction/Production System ,Enhancement,MF,4GL,M1,Yes,,1,No,Financial,770,6,,6
Client server,Electronic Data Interchange ,New Development,MF,3GL,M1,Yes,,1,,Financial,4080,12,,12
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,,,1,,Banking,9686,,,
,Management Information System ,New Development,,3GL,XS,Yes,,4,No,Wholesale & Retail,455,1,,1
,,New Development,MF,3GL,M1,Yes,,1,,Communication,594,2,,2
Multi-tier / Client server,Logistic or supply planning & control ,New Development,Multi,4GL,XL,Don't Know,,1,No,Manufacturing,57749,10,0,10
Stand alone,Decision Support System ,Re-development,MF,4GL,M1,No,,1,No,Government,8111,36,,36
,,Enhancement,,3GL,S,Yes,,1,,Manufacturing,2570,7,0,7
,Financial transaction process/accounting ,New Development,MF,4GL,M2,Don't Know,,1,No,Insurance,1806,7.1,0,7.1
Client server,Financial transaction process/accounting Workflow support & management ,New Development,PC,3GL,M2,Yes,,4,,Insurance,46787,14.5,,14.5
,,Enhancement,MR,4GL,S,Yes,,1,,Communication,2226,13.2,0.17,13.2
,Financial transaction process/accounting ,Enhancement,MF,4GL,S,Yes,,1,,Financial,1308,,,
Multi-tier / Client server,Personnel system ,New Development,Multi,3GL,M1,Don't Know,,1,No,Medical & Health Care,,4.1,0,4.1
,,Enhancement,PC,4GL,,,,4,,,39300,19.1,,19.1
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,1020,10.1,,10.1
Stand alone,,New Development,PC,3GL,M1,Yes,,1,,Manufacturing,2330,6,0,6
Client server,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,7181,3,,3
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,L,Don't Know,,1,No,Communication,2499,3,0,3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,141,3,,3
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1661,23,,23
,Sales contact management ,New Development,MF,3GL,M1,Don't Know,,1,No,Insurance,7704,9,0,9
Client server,IT management ,New Development,MR,3GL,M2,Yes,,3,No,Manufacturing,5620,7.1,,7.1
,,Enhancement,Multi,4GL,M1,Yes,,1,,Insurance,1070,4,0,4
Client server,,Enhancement,,4GL,S,,,1,,,241,5.3,0,5.3
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,,Banking,2500,9,,9
,Financial transaction process/accounting ,Enhancement,,,S,Yes,,1,,Financial,475,,,
,Automated Customer Statements ,Enhancement,PC,3GL,M1,Yes,,1,No,Financial,1550,6,0,6
Stand alone,,Enhancement,MR,4GL,M2,,,1,,Electronics & Computers,6845,9,,9
,,Enhancement,,,M2,Don't Know,,1,Don't Know,,9928,11,0,11
Client server,Electronic Data Interchange Reusable component ,New Development,Multi,4GL,M2,Yes,,1,,Utilities,12149,17,0,17
,Integration ,Enhancement,,3GL,M1,,,1,,Communication,337,4,,4
Multi-tier with web public interface,Financial application area ,New Development,Multi,3GL,M1,Yes,,1,,,626,2.9,,2.9
Client server,relatively complex application ,Enhancement,Multi,3GL,XS,Yes,,1,,Communication,434,,,
Multi-tier with web public interface,Auditing Management ,New Development,Proprietary,5GL,M1,Yes,Yes,1,,Service Industry,452,3,,3
Stand alone,Electronic Data Interchange ,New Development,MR,,M1,No,,1,No,Utilities,4640,7,0,7
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Financial,2061,,,
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,1795,10.4,,10.4
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Don't Know,,1,No,Manufacturing,330,2.1,0,2.1
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,1408,7,,7
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XS,Yes,,1,,,54,0.9,,0.9
,,Enhancement,,3GL,M1,Yes,,1,,Banking,1401,8,1,8
Multi-tier,Transaction/Production System EDI front-end for order processing system ,Enhancement,MF,3GL,XS,No,,1,No,Manufacturing,762,11,,11
,,Enhancement,,3GL,S,Don't Know,,1,Don't Know,,458,4,0,4
Stand alone,Transaction/Production System ,New Development,PC,4GL,S,Yes,,1,,Communication,164,1,,1
,Financial transaction process/accounting ,Enhancement,MF,4GL,S,Yes,,1,,Financial,304,,,
,,Enhancement,,4GL,M1,Don't Know,,1,Don't Know,,441,3,0,3
,,New Development,MR,3GL,L,Yes,,1,,Banking,12687,4,1,4
Stand alone,Transaction/Production System ,Enhancement,MF,ApG,M1,Yes,,4,No,Insurance,1658,4,,4
,Software for machine control ,Enhancement,,3GL,XXS,,,1,,Manufacturing,188,24,,24
Multi-tier,,New Development,Multi,3GL,L,Yes,,1,,Insurance,40770,15,0.02,15
Client server,,Enhancement,Multi,3GL,M2,Yes,,1,,Government,16268,8,0,8
Multi-tier,Customisation (Add-ons) to a Product Data Management System ,Enhancement,Multi,3GL,XXS,,,1,,Construction,16,11,0,11
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,2897,13,,13
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,674,,,
,Management Information System ,New Development,MF,3GL,M1,Yes,,1,No,Utilities,4704,,,
Multi-tier,Transaction/Production System Office Automation System Decision Support System ,Enhancement,MF,3GL,S,Yes,,1,No,,4259,10.3,0,10.3
Stand alone,Business Customer billing/relationship management ,Enhancement,MF,ApG,S,Yes,,1,,Communication,595,2,,2
Stand alone,,New Development,MF,3GL,,,,4,No,Financial,218,3,,3
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,,Financial,2199,,,
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,56,0.72,,0.72
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,2691,11,,11
Multi-tier / Client server,Sales contact management ,New Development,Multi,4GL,L,Don't Know,,1,No,Service Industry,9760,4.8,0,4.8
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,M1,,,1,,Communication,528,5.2,,5.2
